city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,26
sj,2008,22,32
sj,2008,23,31
sj,2008,24,34
sj,2008,26,38
sj,2008,27,41
sj,2008,28,32
sj,2008,30,45
sj,2008,31,36
sj,2008,32,40
sj,2008,34,45
sj,2008,37,59
sj,2008,38,44
sj,2008,39,39
sj,2008,40,39
sj,2008,41,40
sj,2008,42,39
sj,2008,43,32
sj,2008,44,35
sj,2008,45,39
sj,2008,46,36
sj,2008,48,31
sj,2008,49,28
sj,2008,50,24
sj,2008,51,22
sj,2008,52,19
sj,2009,2,17
sj,2009,3,19
sj,2009,4,18
sj,2009,5,16
sj,2009,6,19
sj,2009,7,16
sj,2009,8,19
sj,2009,9,18
sj,2009,10,15
sj,2009,12,15
sj,2009,13,14
sj,2009,14,21
sj,2009,15,18
sj,2009,17,19
sj,2009,18,21
sj,2009,19,23
sj,2009,20,26
sj,2009,21,25
sj,2009,23,31
sj,2009,25,35
sj,2009,26,33
sj,2009,27,35
sj,2009,28,39
sj,2009,29,39
sj,2009,30,39
sj,2009,31,44
sj,2009,32,36
sj,2009,33,40
sj,2009,36,38
sj,2009,37,43
sj,2009,38,42
sj,2009,39,39
sj,2009,41,44
sj,2009,42,44
sj,2009,43,34
sj,2009,47,34
sj,2009,49,35
sj,2009,50,29
sj,2009,51,32
sj,2009,52,26
sj,2010,1,21
sj,2010,2,20
sj,2010,3,24
sj,2010,4,24
sj,2010,5,23
sj,2010,6,23
sj,2010,8,22
sj,2010,9,24
sj,2010,11,18
sj,2010,12,24
sj,2010,13,24
sj,2010,14,19
sj,2010,15,22
sj,2010,17,35
sj,2010,18,31
sj,2010,19,31
sj,2010,20,37
sj,2010,21,34
sj,2010,22,49
sj,2010,23,40
sj,2010,24,40
sj,2010,25,42
sj,2010,26,40
sj,2010,27,42
sj,2010,28,44
sj,2010,29,42
sj,2010,30,41
sj,2010,31,42
sj,2010,33,45
sj,2010,34,47
sj,2010,36,50
sj,2010,37,47
sj,2010,38,45
sj,2010,40,47
sj,2010,41,51
sj,2010,42,39
sj,2010,43,30
sj,2010,44,41
sj,2010,45,41
sj,2010,46,33
sj,2010,47,26
sj,2010,48,25
sj,2010,50,21
sj,2010,51,22
sj,2011,1,21
sj,2011,3,16
sj,2011,4,17
sj,2011,5,16
sj,2011,6,18
sj,2011,8,16
sj,2011,9,17
sj,2011,10,12
sj,2011,11,17
sj,2011,13,17
sj,2011,14,20
sj,2011,15,18
sj,2011,17,12
sj,2011,18,24
sj,2011,19,22
sj,2011,21,33
sj,2011,22,39
sj,2011,23,36
sj,2011,24,43
sj,2011,25,40
sj,2011,26,41
